id,name,tags,tags_json,category_id,brand_id
51a59489-23f4-43b2-ba59-393b313ed6d1,BYZANTINE BRACELET (SILVER),Jewellery|Aesthetic,"[{""name"": ""Jewellery"", ""slug"": ""jewellery"", ""color"": ""Purple"", ""description"": ""Jewellery""}, {""name"": ""Aesthetic"", ""slug"": ""aesthetic"", ""color"": ""Red"", ""description"": ""Aesthetic""}]",eb232420-804d-4165-9cbe-8266ababcbee,add0588c-9141-496a-90c0-b2e3053342b2
c2129a41-75f1-422a-b962-c94ebd39bad8,FLASH PENDANT WITH CHAIN (SILVER),Jewellery|Aesthetic,"[{""name"": ""Jewellery"", ""slug"": ""jewellery"", ""color"": ""Purple"", ""description"": ""Jewellery""}, {""name"": ""Aesthetic"", ""slug"": ""aesthetic"", ""color"": ""Red"", ""description"": ""Aesthetic""}]",eb232420-804d-4165-9cbe-8266ababcbee,add0588c-9141-496a-90c0-b2e3053342b2
524632b7-60eb-4211-91cb-2c1551f47f44,VINYL RECORDS - LANA DEL REY,Aesthetic,"[{""name"": ""Aesthetic"", ""slug"": ""aesthetic"", ""color"": ""Red"", ""description"": ""Aesthetic""}]",0181774c-41c6-439d-8d53-75c3848e2a54,ede98d11-07c8-4a2c-a827-7e370f566e01
5ed7f879-6836-4968-8f91-918971297372,WHEAT CHAIN (SILVER),Jewellery|Aesthetic,"[{""name"": ""Jewellery"", ""slug"": ""jewellery"", ""color"": ""Purple"", ""description"": ""Jewellery""}, {""name"": ""Aesthetic"", ""slug"": ""aesthetic"", ""color"": ""Red"", ""description"": ""Aesthetic""}]",eb232420-804d-4165-9cbe-8266ababcbee,add0588c-9141-496a-90c0-b2e3053342b2
4f11452a-3f92-4051-ae34-fac4e82a6e7b,VINYL RECORDS - THE SMITHS,Aesthetic,"[{""name"": ""Aesthetic"", ""slug"": ""aesthetic"", ""color"": ""Red"", ""description"": ""Aesthetic""}]",0181774c-41c6-439d-8d53-75c3848e2a54,ede98d11-07c8-4a2c-a827-7e370f566e01
7ed69b0e-eb70-4ea0-b667-6b7bb8df6fe5,SQUARE STUD - (MAGNETIC NON-PIERCED),Jewellery|Aesthetic,"[{""name"": ""Jewellery"", ""slug"": ""jewellery"", ""color"": ""Purple"", ""description"": ""Jewellery""}, {""name"": ""Aesthetic"", ""slug"": ""aesthetic"", ""color"": ""Red"", ""description"": ""Aesthetic""}]",eb232420-804d-4165-9cbe-8266ababcbee,add0588c-9141-496a-90c0-b2e3053342b2
9819a8ec-6273-4692-97a5-ad89a7e14295,VINYL RECORDS - THE WEEKND,Aesthetic,"[{""name"": ""Aesthetic"", ""slug"": ""aesthetic"", ""color"": ""Red"", ""description"": ""Aesthetic""}]",0181774c-41c6-439d-8d53-75c3848e2a54,ede98d11-07c8-4a2c-a827-7e370f566e01
07956d30-7641-45d6-a30a-d1da3acc24fb,CIPHER PENDANT WITH CHAIN (GOLD),Jewellery|Aesthetic,"[{""name"": ""Jewellery"", ""slug"": ""jewellery"", ""color"": ""Purple"", ""description"": ""Jewellery""}, {""name"": ""Aesthetic"", ""slug"": ""aesthetic"", ""color"": ""Red"", ""description"": ""Aesthetic""}]",eb232420-804d-4165-9cbe-8266ababcbee,add0588c-9141-496a-90c0-b2e3053342b2
083d07f5-55f8-4c6a-a0fd-72283fb0049a,VINYL RECORD - ROCKSTAR (THE FILM),Aesthetic,"[{""name"": ""Aesthetic"", ""slug"": ""aesthetic"", ""color"": ""Red"", ""description"": ""Aesthetic""}]",0181774c-41c6-439d-8d53-75c3848e2a54,ede98d11-07c8-4a2c-a827-7e370f566e01
63abda0f-77f0-4d29-9342-ba50c34a83b7,VINYL RECORDS - LINKIN PARK,Aesthetic,"[{""name"": ""Aesthetic"", ""slug"": ""aesthetic"", ""color"": ""Red"", ""description"": ""Aesthetic""}]",0181774c-41c6-439d-8d53-75c3848e2a54,ede98d11-07c8-4a2c-a827-7e370f566e01
