id,name,price,final_price,discount,is_discounted,brand_id,category_id,tags,image_count,video_count,view_count,vote_count,is_active,is_discoverable
682ad3e9-fd7e-410d-ac64-3e8a905e8403,Deep Sleep Mask by PureFlow,799,719.1,10,TRUE,cfe4e982-c706-4a42-859e-fb895564e04d,8045bd2c-d72c-42c8-9152-6cc6a8c62075,,5,0,66,0,TRUE,TRUE
b949b26a-6f32-4113-ba9b-32544ead47b2,M4 Shell Ejecting Dart Gun,6000,6000,0,FALSE,60219f13-e7c0-4933-bd9c-5c2650419402,20640a30-9228-4b69-91db-024c45920487,Durable,4,0,66,0,TRUE,TRUE
00a6ed5d-98e7-472e-a8c4-21583c10aaf5,Nora Vegan Leather Embroidered Sling Bag - Black,9750,7800,20,TRUE,915a7c0b-6db5-415a-bf8a-c32f573e9be3,eb232420-804d-4165-9cbe-8266ababcbee,,8,0,65,1,TRUE,TRUE
b7e2a305-0b04-443d-b2ef-0514fe851be1,Lion's Mane Shroom Coffee,449,449,0,FALSE,60219f13-e7c0-4933-bd9c-5c2650419402,36b291ec-3666-4da1-9f51-82fa2df373a5,,10,0,65,0,TRUE,TRUE
832d9616-1487-4929-89c8-253dd4b9b5ee,Soulshoe is White,3398,3398,0,FALSE,60219f13-e7c0-4933-bd9c-5c2650419402,ba4ed8a0-5dac-4390-bc61-9446e374ab3b,,3,1,64,0,TRUE,TRUE
9b1e3b5b-c9e6-4a71-9ddf-c9dc85d7df84,JellyGlow Lamp,1899,1899,0,FALSE,60219f13-e7c0-4933-bd9c-5c2650419402,0181774c-41c6-439d-8d53-75c3848e2a54,,3,2,63,0,TRUE,TRUE
5f9b5755-4eb4-4ef8-91dd-157209db81e3,CTRL+P LOGO HOODIE,899,809.1,10,TRUE,77b25ed0-28d3-4a7f-ad25-14cdea73fe35,c89321cf-e6f1-4f98-a0d9-beb4e54ed535,Made in India|Oversized fit,4,0,62,0,TRUE,TRUE
fab2c676-57c7-49fb-a6e2-38ecd86b1589,PEARL HALF & HALF BRACELET (SILVER),799,719.1,10,TRUE,add0588c-9141-496a-90c0-b2e3053342b2,eb232420-804d-4165-9cbe-8266ababcbee,Jewellery|Aesthetic,3,0,62,0,TRUE,TRUE
500af3fd-5ae8-4e09-adbd-e12f34e9c5f8,STORM | Grey Force,15000,15000,0,FALSE,9902a5bd-fcd4-4f40-9d81-7d464b5c6b47,20640a30-9228-4b69-91db-024c45920487,Luxury ,3,0,61,0,TRUE,TRUE
a4d304c9-4d58-4cf6-a56d-5a770841c627,Red Wine - Barrel Aged Coffee,3500,3500,0,FALSE,60219f13-e7c0-4933-bd9c-5c2650419402,36b291ec-3666-4da1-9f51-82fa2df373a5,,3,0,60,0,TRUE,TRUE
