name,price,discount,final_price,view_count,vote_count,discount_code,product_url
VINYL RECORDS - TYLER THE CREATOR,1499,5,1424.05,24,0,TOASTD5,https://www.toastd.in/product/reawakentheory-vinyl-records-tyler-the-creator
Hollow Knight Controller Stand for Xbox & Playstation,649,0,649,24,0,,https://www.toastd.in/product/hollow-knight-controller-stand-xbox-ps5
FIGARO BRACELET (SILVER),599,10,539.1,24,0,Toastd10,https://www.toastd.in/product/grytt-figaro-bracelet-silver
BYZANTINE CHAIN (SILVER),1099,10,989.1,24,0,Toastd10,https://www.toastd.in/product/grytt-byzanite-chain-silver
THIN CUBAN CHAIN (GOLD),799,10,719.1,24,0,Toastd10,https://www.toastd.in/product/grytt-thin-cuban-chain-gold
Frida Retro Sketchbook,699,0,699,24,0,,https://www.toastd.in/product/frida-retro-sketchbook
Wheat Bracelet (SILVER),599,10,539.1,23,0,Toastd10,https://www.toastd.in/product/grytt-wheat-bracelet-silver
WHEAT BRACELET (GOLD),599,10,539.1,23,0,Toastd10,https://www.toastd.in/product/grytt-wheat-braceletgold
REDBULL JACKET,1999,0,1999,23,0,,https://www.toastd.in/product/weirdplane-redbull-jacket
Cocktail Premix Combo Pack (Makes 4 Drinks),700,0,700,23,0,,https://www.toastd.in/product/assorted-cocktail-premix-combo-pack
Regular Assorted Sachets 15g Plant Protein - Pack of 12,1140,0,1140,22,0,,https://www.toastd.in/product/regular-multi-pack-of-12
Regular Assorted Sachets 15g Plant Protein - Pack of 12,1140,0,1140,22,0,,https://www.toastd.in/product/regular-multi-pack-of-12
MORE LIFE MIRROR,2199,5,2089.05,22,1,TOASTD5,https://www.toastd.in/product/1989-mirror
Cat Love Unisex Oversized Both Side Printed Hoodie,2499,0,2499,22,0,,https://www.toastd.in/product/cat-love-unisex-oversized-both-side-printed-hoodie
Cherry Earrings,799,0,799,22,0,,https://www.toastd.in/product/cherry-earrings
FROSTED HOOP - (GOLD PIERCED),399,10,359.1,22,0,Toastd10,https://www.toastd.in/product/grytt-frosted-hoop-gold-pierced
PRESSING HOOP (BLACK UNPIERCED),299,10,269.1,21,1,Toastd10,https://www.toastd.in/product/grytt-pressing-hoop-black
The Bands By Näck,933,0,933,21,0,,https://www.toastd.in/product/the-bands-by-nack
SPARTAN PENDANT WITH CHAIN,999,10,899.1,21,0,Toastd10,https://www.toastd.in/product/grytt-spartan-pendant-with-chain
