id,name,view_count,tape_view_count,vote_count,is_upvoted,created_on,launched_on
12d54404-14de-4d24-b1e0-d7d7827ebefc,Hivado Body Wash for Men 250ml,1125,0,8,FALSE,2025-07-03T09:59:25.12,2025-07-05T10:11:00
9b874d08-a64d-4a35-930e-3bd20d916e9a,Lunar Necklace,1114,0,2,FALSE,2025-07-14T19:50:13.308,2025-07-16T20:13:00
64d940a6-9894-419e-9bdb-54f135168182,FITNESS & DIET PLANNER,1079,0,4,FALSE,2025-05-14T08:26:13.032,2025-05-14T08:47:00
0b625a69-a723-442b-8e0a-20d43979709f,AtomEats Pretzel Variety Pack,1079,0,11,FALSE,2025-05-26T16:10:23.125,2025-05-25T16:10:00
0297e552-c705-42da-a8ad-be434d2113b6,TETRAPOD Paperweight,1048,0,3,FALSE,2025-09-02T17:03:00.771,2025-09-02T17:09:00
0ac2b4b0-fd3b-48db-8b22-4e502b3a6d77,Lilac Luxe Dress,1037,0,7,FALSE,2025-05-28T10:12:11.59,2025-05-08T11:44:00
0e22250a-faed-4454-8e46-f3201f799c4c,LOOP Laptop Stand - Graphite,1002,0,0,FALSE,2025-04-04T16:35:40.722,2025-04-02T16:38:00
8b2b5734-1494-4df5-a09a-3faf911b4c4f,SPRING TABLE,998,0,2,FALSE,2025-09-02T17:03:00.771,2025-09-02T18:41:00
00e41c80-4078-4c90-adff-8bc8c1e7876f,Lotus Biscoff Cookie ,989,0,8,FALSE,2025-05-24T22:07:57.191,2025-05-23T22:18:00
1bb62951-f54d-4a28-b601-bfcd19941415,Choco Pretzel Assorted (30 g x 3 Packs),957,0,4,FALSE,2025-07-17T21:46:43.388,2025-07-16T22:18:00
3878abc5-f5ee-4299-9410-519d20fd26e0,Double Chocolate Cookie ,929,0,14,FALSE,2025-05-24T20:20:07.69,2025-05-23T21:53:00
9cf5ef8f-9f98-4855-9b10-7bc9f1cd8151,VINTAGE COMIC BOOK COVERS - WALL COLLAGE POSTERS,915,0,5,FALSE,2025-06-09T08:45:59.537,2025-06-03T08:53:00
9887b0db-c124-4ac6-be0b-3097fd6c7fbc,Onigod Smelling Salt | for intermediate lifters,896,0,1,FALSE,2025-07-31T08:20:15.623,2025-07-11T09:19:00
fdf8f2c8-7cd3-4b3c-a593-18e1fd8f937b,Korea's Cheesy Gochujang Gourmet Dip With Baked Lavash Chips,884,0,15,FALSE,2025-05-14T10:53:48.434,2025-05-14T11:07:00
89cbd3f1-b186-4ad1-acb3-251c3c09b8d0,DIY Barbecue Kit With Grill,849,0,4,FALSE,2025-07-10T20:49:04.253,2025-07-04T20:56:00
908d11cb-96b8-45c5-b05b-e2ca77e65503,Baobab Fruit Powder,814,0,18,FALSE,2025-06-02T17:35:19.838,2025-06-01T17:40:00
1049fdab-9938-4f4b-834c-9a505802b3fe,Bhutan's Ema Datshi Gourmet Dip With Baked Lavash Chips (Combo),779,0,13,FALSE,2025-05-15T11:51:25.94,2025-05-14T11:54:00
96bc220d-8a04-411e-aaca-50ae01027c21,Vegan Leather Card Holder,757,0,4,FALSE,2025-05-12T22:10:10.338,2025-05-11T22:12:00
